Ride ID,Date,Pickup Location,Drop-off Location,Fare,Payment Method,Ride Status,Rating
R001,2026-09-07,Johar Town,Model Town,300.0,Card,Completed,3.6
R002,2026-09-05,Model Town,Model Town,634.0,UPI,Completed,5.0
R003,2026-09-06,DHA,Johar Town,444.0,Cash,Completed,4.1
R004,2026-09-10,DHA,Johar Town,228.0,UPI,Completed,4.2
R005,2026-09-03,Gulberg,Johar Town,432.0,Cash,Completed,3.8
R006,2026-09-04,Bahria Town,Gulberg,368.0,Cash,Completed,3.5
R007,2026-09-07,Model Town,Model Town,502.0,Cash,Cancelled,
R008,2026-09-06,DHA,Johar Town,297.0,UPI,Completed,5.0
R009,2026-09-02,Gulberg,Johar Town,319.0,UPI,Completed,3.9
R010,2026-09-10,Bahria Town,Johar Town,261.0,UPI,Completed,3.7
R011,2026-09-01,DHA,DHA,478.0,UPI,Completed,4.6
R012,2026-09-05,Bahria Town,Gulberg,508.0,Card,Completed,4.8
R013,2026-09-02,DHA,Bahria Town,503.0,Cash,Completed,4.2
R014,2026-09-03,Johar Town,Gulberg,449.0,Cash,Completed,3.9
R015,2026-09-10,DHA,Bahria Town,414.0,UPI,Completed,4.3
R016,2026-09-05,DHA,Bahria Town,516.0,Wallet,Completed,3.8
R017,2026-09-07,Gulberg,Johar Town,470.0,Wallet,Cancelled,
R018,2026-09-04,Bahria Town,Model Town,535.0,Cash,Completed,3.7
R019,2026-09-01,DHA,Model Town,449.0,Card,Completed,3.5
R020,2026-09-09,Gulberg,DHA,446.0,Wallet,Completed,4.0
R021,2026-09-06,DHA,DHA,418.0,UPI,Completed,3.9
R022,2026-09-03,Gulberg,DHA,417.0,Cash,Cancelled,
R023,2026-09-02,Gulberg,Bahria Town,563.0,Card,Completed,4.3
R024,2026-09-06,DHA,Johar Town,526.0,Cash,Completed,4.1
R025,2026-09-06,Gulberg,Johar Town,541.0,UPI,Cancelled,
R026,2026-09-09,Gulberg,Bahria Town,381.0,Cash,Cancelled,
R027,2026-09-04,DHA,Model Town,347.0,Card,Completed,4.9
R028,2026-09-07,Bahria Town,DHA,393.0,Cash,Completed,4.6
R029,2026-09-10,DHA,Johar Town,421.0,Wallet,Completed,3.9
R030,2026-09-05,Bahria Town,Model Town,457.0,UPI,Completed,3.9
R031,2026-09-03,Johar Town,DHA,442.0,Cash,Completed,3.5
R032,2026-09-03,Bahria Town,Gulberg,504.0,UPI,Completed,4.3
R033,2026-09-09,DHA,Johar Town,535.0,UPI,Completed,4.5
R034,2026-09-01,Gulberg,Johar Town,337.0,Cash,Completed,4.5
R035,2026-09-06,Bahria Town,Model Town,540.0,Card,Cancelled,
R036,2026-09-01,DHA,Bahria Town,473.0,UPI,Completed,4.4
R037,2026-09-01,Bahria Town,Bahria Town,452.0,Cash,Completed,4.9
R038,2026-09-05,Model Town,Johar Town,470.0,Cash,Cancelled,
R039,2026-09-05,DHA,DHA,441.0,UPI,Completed,4.9
R040,2026-09-08,DHA,Gulberg,295.0,Cash,Completed,5.0
R041,2026-09-10,Johar Town,DHA,461.0,Cash,Completed,4.3
R042,2026-09-10,Johar Town,DHA,347.0,Cash,Completed,3.6
R043,2026-09-04,Johar Town,DHA,364.0,Cash,Completed,4.8
R044,2026-09-02,DHA,Model Town,407.0,Cash,Completed,4.3
R045,2026-09-10,Johar Town,DHA,372.0,Card,Completed,3.7
R046,2026-09-05,DHA,Johar Town,528.0,Cash,Completed,3.6
R047,2026-09-04,Gulberg,Model Town,217.0,Cash,Completed,4.7
R048,2026-09-10,DHA,Bahria Town,438.0,Card,Completed,3.6
R049,2026-09-05,DHA,Gulberg,451.0,UPI,Completed,4.6
R050,2026-09-05,Model Town,Bahria Town,258.0,Card,Completed,4.3
R051,2026-09-07,DHA,Gulberg,396.0,Card,Completed,3.6
