rank,driver_id,total_rides,completed_rides,cancelled_rides,revenue,avg_rating,avg_distance_km,completion_rate,cancellation_rate,avg_fare,composite_score
1,DRV-010,10,10,0,4055.0,4.34,12.540000000000001,100.0,0.0,405.5,93.3514272970562
2,DRV-001,10,10,0,4237.0,4.01,13.469999999999999,100.0,0.0,423.7,93.12203389830509
3,DRV-004,10,10,0,4007.0,4.36,12.58,100.0,0.0,400.7,93.07676181980375
4,DRV-002,10,9,1,4484.0,4.333333333333333,16.5,90.0,10.0,498.22222222222223,92.66666666666666
5,DRV-009,10,9,1,3831.0,4.300000000000001,12.7,90.0,10.0,425.6666666666667,87.40298840321141
6,DRV-003,10,8,2,3807.0,4.4625,15.37,80.0,20.0,475.875,84.02815566458519
7,DRV-006,10,8,2,3504.0,3.9125,14.040000000000001,80.0,20.0,438.0,78.91307983942907
8,DRV-008,10,8,2,3210.0,4.2,12.34,80.0,20.0,401.25,78.05575379125781
9,DRV-007,10,7,3,2421.0,4.771428571428571,11.52,70.0,30.0,345.85714285714283,70.75433286606346
10,DRV-005,10,6,4,2910.0,4.083333333333333,16.52,60.0,40.0,485.0,67.13076122509663
